Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 4.2560477, s: 0.8568448, p: 2.036993, d: 2.673372, eval: 1:-608 2:368 3:-151]
Herbivore: [w: 3.0338178, s: 3.5291624, p: 3.2588017, d: 3.2179022, eval: 1:121 2:-452 3:-381]
Herbivore: [w: 1.7969642, s: 2.9447186, p: 2.130063, d: 2.0176797, eval: 1:781 2:333 3:-478]
Herbivore: [w: 2.3545744, s: 1.7995757, p: 0.7810283, d: 0.69096506, eval: 1:-598 2:231 3:901]
Herbivore: [w: 1.5790789, s: 3.5547316, p: 4.330283, d: 2.2008407, eval: 1:703 2:672 3:324]
Herbivore: [w: 4.761174, s: 2.2926574, p: 4.700563, d: 1.0114723, eval: 1:-718 2:-931 3:314]
Herbivore: [w: 1.5283873, s: 2.866592, p: 0.10042131, d: 3.7537246, eval: 1:116 2:695 3:-819]
Herbivore: [w: 4.0297623, s: 4.591729, p: 0.17030835, d: 2.677282, eval: 1:221 2:449 3:-541]
Herbivore: [w: 3.096432, s: 0.19826591, p: 3.1456585, d: 2.9119544, eval: 1:981 2:-793 3:581]
Herbivore: [w: 3.900122, s: 3.7857091, p: 2.4295406, d: 0.53641915, eval: 1:-133 2:-606 3:29]
Herbivore: [w: 2.483763, s: 2.3703134, p: 4.522973, d: 3.7958293, eval: 1:447 2:-676 3:264]
Herbivore: [w: 3.0806792, s: 4.8425426, p: 3.3899732, d: 2.4508662, eval: 1:-76 2:138 3:509]
Herbivore: [w: 1.2695256, s: 0.78633666, p: 4.0592604, d: 0.0684911, eval: 1:968 2:-877 3:414]
Herbivore: [w: 0.7555927, s: 4.3607874, p: 0.9294766, d: 3.905208, eval: 1:957 2:20 3:-126]
Herbivore: [w: 3.000461, s: 2.2627096, p: 2.4489183, d: 4.0668697, eval: 1:305 2:-771 3:-98]
Herbivore: [w: 4.094151, s: 2.9414825, p: 1.91513, d: 4.358433, eval: 1:989 2:324 3:389]
Herbivore: [w: 2.2194643, s: 0.11707425, p: 1.579774, d: 1.6128004, eval: 1:261 2:730 3:764]
Herbivore: [w: 0.69624674, s: 3.3880467, p: 4.7065935, d: 1.2948662, eval: 1:385 2:275 3:919]
Herbivore: [w: 0.23878706, s: 4.7160797, p: 4.5376945, d: 0.95971465, eval: 1:-763 2:300 3:740]
Herbivore: [w: 4.291848, s: 0.54270506, p: 0.34579515, d: 3.1722403, eval: 1:-556 2:626 3:-21]
Herbivore: [w: 4.823024, s: 2.1205668, p: 3.7102537, d: 1.7376161, eval: 1:774 2:-221 3:190]
Herbivore: [w: 2.5107548, s: 3.9358556, p: 4.994826, d: 2.988001, eval: 1:239 2:-946 3:-973]
Herbivore: [w: 1.4069815, s: 3.7710018, p: 2.716815, d: 1.2904698, eval: 1:623 2:448 3:324]
Herbivore: [w: 0.4768544, s: 4.407852, p: 1.161533, d: 1.7104244, eval: 1:-822 2:693 3:-124]
Herbivore: [w: 3.1437588, s: 4.2350793, p: 3.7904918, d: 4.8892355, eval: 1:-973 2:948 3:-580]
Herbivore: [w: 4.6795363, s: 0.065835714, p: 2.7752662, d: 3.3745341, eval: 1:-12 2:-73 3:-409]
Herbivore: [w: 4.798812, s: 2.3733115, p: 3.6605692, d: 1.7527097, eval: 1:504 2:-918 3:-213]
Herbivore: [w: 4.0154347, s: 4.9745264, p: 3.6476283, d: 1.4144057, eval: 1:393 2:-778 3:-931]
Herbivore: [w: 3.21458, s: 0.68004906, p: 2.6639276, d: 1.9309062, eval: 1:966 2:524 3:-956]
Herbivore: [w: 4.78265, s: 4.4799747, p: 0.014238954, d: 0.2959907, eval: 1:-212 2:-838 3:-75]
Herbivore: [w: 4.880513, s: 1.5363753, p: 3.4502256, d: 1.7280799, eval: 1:922 2:-610 3:89]
Herbivore: [w: 3.8538938, s: 4.0270557, p: 0.23706913, d: 2.298125, eval: 1:-55 2:-522 3:402]
Herbivore: [w: 2.9863067, s: 4.4158344, p: 0.36230266, d: 4.998233, eval: 1:-491 2:206 3:-966]
Herbivore: [w: 4.682774, s: 4.983245, p: 4.72999, d: 0.2605033, eval: 1:-833 2:198 3:407]
Herbivore: [w: 4.714352, s: 1.7146981, p: 2.6781802, d: 2.2219396, eval: 1:202 2:-368 3:868]
Herbivore: [w: 3.118972, s: 2.1976829, p: 1.2746525, d: 2.1235256, eval: 1:-288 2:211 3:189]
Herbivore: [w: 4.5229363, s: 4.7887983, p: 1.9904453, d: 2.174778, eval: 1:607 2:-270 3:-95]
